zip,avg_payback_period,avg_needed_incentives,prop_adopt_1_years_-5500_incentive,prop_adopt_2_years_-5500_incentive,prop_adopt_3_years_-5500_incentive,prop_adopt_4_years_-5500_incentive,prop_adopt_5_years_-5500_incentive
71601,18.566306531216455,11863.709873187978,0.0,0.0,0.013,0.044,0.12
71602,18.56521957718011,11927.999548925134,0.0,0.0,0.0,0.033,0.091
71603,18.428744713446008,11798.185984971165,0.0,0.0,0.018,0.051,0.113
71837,18.55225342983282,11847.097576426337,0.0,0.0,0.007,0.052,0.104
71854,18.545120978244636,11793.31979152639,0.0,0.0,0.023,0.053,0.112
71901,19.060280241834878,12021.340853202491,0.0,0.0,0.0,0.037,0.075
71913,19.060622547464398,12059.607126018325,0.0,0.0,0.0,0.026,0.064
71956,19.061718220849812,12092.209437131089,0.0,0.0,0.006,0.017,0.048
71964,18.997408733703057,12088.348688182085,0.0,0.0,0.007,0.015,0.019
71968,19.059243396878614,12136.191690515374,0.0,0.0,0.0,0.008,0.022
72002,18.815884514272582,11999.65546835205,0.0,0.0,0.001,0.019,0.09
72007,18.664850672317485,11975.467618375626,0.0,0.0,0.0,0.028,0.078
72011,18.814767140675773,12006.449157919336,0.0,0.0,0.003,0.024,0.076
72012,18.695344986540572,11974.780486736463,0.0,0.0,0.007,0.023,0.071
72015,18.81598659632936,12007.516309845354,0.0,0.0,0.0,0.031,0.061
72019,18.813895286400196,11984.413183225732,0.0,0.0,0.0,0.034,0.082
72022,18.816756412491063,12033.50064570412,0.0,0.0,0.004,0.021,0.058
72023,18.676740136820907,11990.15011204249,0.0,0.0,0.0,0.027,0.074
72065,18.81370880724353,11913.89065831827,0.0,0.0,0.013,0.04,0.101
72068,18.577795488782357,11954.187944562394,0.0,0.0,0.01,0.026,0.045
72076,18.84849309240914,12018.442966798182,0.0,0.0,0.0,0.024,0.073
72081,18.69434525723321,12019.99242373089,0.0,0.0,0.0,0.021,0.064
72082,18.696758932559433,12046.106728846462,0.0,0.0,0.0,0.01,0.067
72086,18.593399585051078,11899.75835741847,0.0,0.0,0.01,0.038,0.107
72103,18.833315829871683,12012.173184846177,0.0,0.0,0.004,0.028,0.058
72113,18.858079457362237,11994.436745302977,0.0,0.0,0.003,0.026,0.087
72114,18.862402052041425,11834.349016179865,0.0,0.0,0.001,0.069,0.147
72116,18.786539628912774,11955.168647784218,0.0,0.0,0.01,0.033,0.073
72117,18.725724700479113,11808.76671118984,0.0,0.0,0.024,0.063,0.11
72118,18.78782129292088,11950.901076589213,0.0,0.0,0.012,0.037,0.063
72120,18.858587585049108,12010.434305862675,0.0,0.0,0.001,0.024,0.067
72135,18.85743566049592,11993.699509735405,0.0,0.0,0.0,0.032,0.101
72142,18.785993514410546,11913.410899084118,0.0,0.0,0.012,0.045,0.071
72143,18.695619074192066,11952.498246343417,0.0,0.0,0.006,0.034,0.079
72167,18.819425702542762,11952.643091103806,0.0,0.0,0.0,0.041,0.135
72176,18.66569486391928,11968.683681007207,0.0,0.0,0.0,0.033,0.07
72201,18.712325611113762,11714.204002985976,0.0,0.0,0.033,0.072,0.133
72202,18.792073659523133,11876.698843380436,0.0,0.0,0.006,0.049,0.124
72204,18.796892190090198,11912.930754591565,0.0,0.0,0.005,0.048,0.089
72205,18.782229339284726,11892.72761810178,0.0,0.0,0.016,0.044,0.095
72206,18.859692583560832,11969.657576678286,0.0,0.0,0.0,0.037,0.1
72207,18.858255899870404,11868.010253063301,0.0,0.0,0.0,0.076,0.139
72209,18.859603179073552,11939.964290265261,0.0,0.0,0.002,0.045,0.085
72210,18.813297948957104,12009.925960863382,0.0,0.0,0.0,0.027,0.071
72211,18.86105380027898,11984.552668893024,0.0,0.0,0.0,0.031,0.101
72212,18.855311102952417,11884.374193744408,0.0,0.0,0.0,0.068,0.147
72223,18.86396238754834,11906.638079773329,0.0,0.0,0.0,0.056,0.145
72227,18.794275796349485,11837.166368775126,0.0,0.0,0.003,0.074,0.147
72364,18.816659654694153,11973.77846638303,0.0,0.0,0.01,0.033,0.08
72376,18.87783475786173,11997.55225234174,0.0,0.0,0.0,0.026,0.107
72401,18.640115308502022,11880.029916276282,0.0,0.0,0.011,0.049,0.095
72404,18.710812310063655,11940.607784043734,0.0,0.0,0.005,0.037,0.086
72411,18.647216847954,11996.106801316198,0.0,0.002,0.011,0.014,0.039
72416,18.71245955311387,11975.83357354778,0.0,0.0,0.0,0.031,0.078
72417,18.710426482725694,12089.830340212444,0.0,0.0,0.0,0.0,0.027
72701,16.80699553278414,11239.410338855143,0.0,0.0,0.028,0.093,0.426
72703,16.916157901295744,11438.427864109815,0.0,0.0,0.005,0.06,0.428
