zip,year,incentive,panels
19009,1,-2000,0
1901,1,-2000,0
19010,1,-2000,0
19012,1,-2000,0
19013,1,-2000,0
19014,1,-2000,0
19015,1,-2000,0
19018,1,-2000,0
1902,1,-2000,0
19020,1,-2000,0
19021,1,-2000,0
19022,1,-2000,0
19023,1,-2000,0
19025,1,-2000,0
19026,1,-2000,0
19027,1,-2000,0
19029,1,-2000,0
19030,1,-2000,0
19031,1,-2000,0
19032,1,-2000,0
19033,1,-2000,0
19034,1,-2000,0
19035,1,-2000,0
19036,1,-2000,0
19038,1,-2000,0
1904,1,-2000,0
19040,1,-2000,0
19041,1,-2000,0
19043,1,-2000,0
19044,1,-2000,0
19046,1,-2000,0
19047,1,-2000,0
1905,1,-2000,0
19050,1,-2000,0
19053,1,-2000,0
19054,1,-2000,0
19055,1,-2000,0
19056,1,-2000,0
19057,1,-2000,0
1906,1,-2000,0
19060,1,-2000,0
19061,1,-2000,0
19063,1,-2000,0
19064,1,-2000,0
